City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
356,Namatanai,PG,80.6,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
363,Luanda,AO,81.86,light rain,-8.8368,13.2343,Hotel Fórum
364,Ternate,ID,82.04,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
365,Lubango,AO,82.26,light rain,-14.9172,13.4925,Hotel Serra da Chela
366,Matias Olimpio,BR,88.95,broken clouds,-3.7158,-42.5556,POSTO E HOTEL ZONA FRANCA
367,Moree,AU,75.22,clear sky,-29.4667,149.85,Molika Springs Motel
368,Tuy Hoa,VN,71.26,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
371,Kokoda,PG,76.32,overcast clouds,-8.8785,147.7407,Daito Guest House
372,Sambava,MG,83.08,light rain,-14.2667,50.1667,Melrose
377,Sola,VU,75.87,overcast clouds,-13.8833,167.55,Leumerus Bungalows
389,Kharod,IN,70.23,overcast clouds,21.75,82.5667,STARiHOTELS Sheorinarayan
394,Paka,MY,75.13,light rain,4.6374,103.4368,RUMBIA RESORT VILLA
396,Mareeba,AU,75.92,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
397,Mayumba,GA,79.03,overcast clouds,-3.432,10.6554,LIKWALE LODGE
398,Rocha,UY,70.07,broken clouds,-34.4833,-54.3333,Hotel Arrarte
400,Porto Novo,BJ,89.42,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
407,Carutapera,BR,82.17,overcast clouds,-1.195,-46.02,Lidera
411,Port Keats,AU,85.89,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
412,Tucuman,AR,78.8,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
413,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
419,Talgram,IN,72.03,broken clouds,27.05,79.65,Lalaji Mothar Dairy Govindpur
420,Kawalu,ID,75.78,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
421,Morondava,MG,84.65,scattered clouds,-20.2833,44.2833,La Case Bambou
429,Sorong,ID,80.17,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
432,Coahuayana,MX,72.36,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
443,Kitui,KE,72.3,light rain,-1.367,38.0106,Heritage Bliss Hotel
449,Nova Prata,BR,71.65,scattered clouds,-28.7839,-51.61,Condall Palace Hotel
451,Kulhudhuffushi,MV,82.89,scattered clouds,6.6221,73.07,Haajy Guest House 1
453,Vikindu,TZ,85.64,scattered clouds,-7.0067,39.2985,RUTA GUEST HOUSE
455,Labuhan,ID,82.13,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
457,Lubao,PH,80.62,overcast clouds,14.9167,120.55,Hacienda Gracia
458,Altagracia De Orituco,VE,79.34,overcast clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
464,Phan Thiet,VN,74.28,broken clouds,10.9333,108.1,Hotel Saigon-PT
465,Bihariganj,IN,73.31,few clouds,25.7333,86.9833,Chandika Sthan Dharmshala
470,Sur,OM,78.1,clear sky,22.5667,59.5289,Sur Plaza Hotel
474,Biak,ID,77.95,broken clouds,-0.9131,122.8766,Penginapan Kim
481,Medak,IN,77.9,overcast clouds,18.0333,78.2667,Haritha Heritage Hotel
482,Camocim,BR,87.17,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
484,Borba,BR,76.78,moderate rain,-4.3878,-59.5939,Hotel da Amazônia
486,Sungairaya,ID,80.01,overcast clouds,0.7,108.9,Mess P.Milu
488,Gandajika,CD,84.65,overcast clouds,-6.75,23.95,
494,Pagudpud,PH,71.64,broken clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
498,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
499,Gat,IL,72.28,overcast clouds,31.61,34.7642,OlusHome
500,Ambulu,ID,78.28,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
501,Mahajanga,MG,85.28,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
503,Dingle,PH,74.1,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
508,Mahibadhoo,MV,82.15,few clouds,3.7833,72.9667,Omadhoo Inn
509,San Policarpo,PH,78.19,moderate rain,12.1791,125.5072,Agapita M. Nicart
515,Atar,MR,78.49,overcast clouds,20.5169,-13.0499,Oumou Elghoura
519,Magaria,NE,89.85,clear sky,12.9983,8.9099,Chez Honorable Chapiou
520,Bandarbeyla,SO,79.79,clear sky,9.4942,50.8122,JABIR HOTEL
521,Manyana,BW,88.5,light rain,-23.4,21.7167,
524,Matay,EG,72.75,overcast clouds,28.419,30.7792,Nag Aespen
525,Lahad Datu,MY,76.95,overcast clouds,5.0268,118.327,The 27th House
527,Trinidad,BO,80.44,overcast clouds,-14.8333,-64.9,Hotel Piesta
529,Cururupu,BR,79.7,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
537,Port Hedland,AU,87.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
538,Sabang,ID,79.39,overcast clouds,5.8933,95.3214,Hotel Citra
539,Ambon,ID,82.09,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
540,Riyadh,SA,71.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
541,Samarai,PG,81.75,overcast clouds,-10.6167,150.6667,Nuli Sapi
546,Gunjur,GM,86.07,haze,13.2019,-16.7339,Dalaba Eco-Lodge Gambia
549,Bambanglipuro,ID,79.83,overcast clouds,-7.95,110.2833,Puri Brata
551,Urucara,BR,78.1,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
553,Sinnamary,GF,81.91,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
557,Kutum,SD,82.33,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
558,Kupang,ID,81.32,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
566,Kiunga,PG,75.36,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
571,Dubbo,AU,71.73,broken clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
574,Yara,CU,74.53,overcast clouds,20.2753,-76.9533,Casa de Margarita Puebla Lorente
577,Innisfail,AU,77.85,overcast clouds,-17.5333,146.0333,Moondarra Motel
578,Tulum,MX,73.98,clear sky,20.2167,-87.4667,Kin Ha Tulum
583,Cajaruro,PE,77.43,overcast clouds,-5.7364,-78.4256,Hotel Kuelap
584,Conceicao Do Araguaia,BR,81.73,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
