City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Escarcega,MX,2021-12-01 17:48:58,18.6089,-90.7454,87.64,44,13,2.37
111,Pisco,PE,2021-12-01 17:48:59,-13.7,-76.2167,70.02,73,0,10.36
112,Tuatapere,NZ,2021-12-01 17:48:59,-46.1333,167.6833,51.82,89,4,1.68
113,Rockhampton,AU,2021-12-01 17:48:59,-23.3833,150.5,73.29,100,90,0.0
114,Atar,MR,2021-12-01 17:49:00,20.5169,-13.0499,81.7,12,78,9.75
115,Omboue,GA,2021-12-01 17:49:00,-1.5746,9.2618,78.24,87,88,8.28
116,Kodiak,US,2021-12-01 17:49:01,57.79,-152.4072,15.31,57,90,13.8
117,Lompoc,US,2021-12-01 17:49:01,34.6391,-120.4579,86.13,29,1,6.91
118,Klaksvik,FO,2021-12-01 17:49:02,62.2266,-6.589,32.92,77,100,35.08
119,Qeshm,IR,2021-12-01 17:49:02,26.9581,56.2719,67.89,55,1,5.12
120,Vaitape,PF,2021-12-01 17:49:03,-16.5167,-151.75,79.93,76,100,21.92
121,Hilo,US,2021-12-01 17:49:03,19.7297,-155.09,74.28,91,20,6.91
122,Chokurdakh,RU,2021-12-01 17:49:04,70.6333,147.9167,-27.11,100,100,7.99
123,Lasa,IT,2021-12-01 17:49:04,46.6166,10.7002,39.94,97,93,3.69
124,Bangsund,NO,2021-12-01 17:49:04,64.3968,11.3949,32.92,93,75,4.61
125,Mar Del Plata,AR,2021-12-01 17:47:21,-38.0023,-57.5575,62.62,80,0,15.99
126,Sabha,LY,2021-12-01 17:49:05,27.0377,14.4283,59.47,27,96,8.1
127,Tazovskiy,RU,2021-12-01 17:48:30,67.4667,78.7,-13.07,94,89,11.3
128,Kaeo,NZ,2021-12-01 17:49:06,-35.1,173.7833,61.32,94,100,2.59
129,Vardo,NO,2021-12-01 17:49:07,70.3705,31.1107,33.78,60,75,36.82
130,Deputatskiy,RU,2021-12-01 17:49:07,69.3,139.9,-36.29,100,69,4.12
131,Denpasar,ID,2021-12-01 17:44:11,-8.65,115.2167,76.71,94,40,2.3
132,Agirish,RU,2021-12-01 17:49:08,61.9247,63.0231,21.83,97,100,6.96
133,Mattru,SL,2021-12-01 17:49:09,7.6244,-11.8332,79.93,84,72,4.81
134,Ust-Kuyga,RU,2021-12-01 17:49:09,70.0167,135.6,-38.61,100,98,3.69
135,Maceio,BR,2021-12-01 17:49:04,-9.6658,-35.7353,90.84,55,20,19.57
136,Cidreira,BR,2021-12-01 17:49:10,-30.1811,-50.2056,70.38,64,69,13.87
137,Puerto Ayora,EC,2021-12-01 17:48:30,-0.7393,-90.3518,76.96,76,81,9.31
138,Hollins,US,2021-12-01 17:50:10,37.3413,-79.9431,56.44,73,90,3.44
139,Bam,IR,2021-12-01 17:50:11,29.106,58.357,60.78,32,0,4.12
140,Nikolskoye,RU,2021-12-01 17:50:11,59.7035,30.7861,19.29,95,89,4.36
141,Arraial Do Cabo,BR,2021-12-01 17:50:12,-22.9661,-42.0278,82.36,78,20,16.11
142,Port Macquarie,AU,2021-12-01 17:50:12,-31.4333,152.9167,66.09,100,90,6.91
143,Cabo San Lucas,MX,2021-12-01 17:46:16,22.8909,-109.9124,83.52,64,5,1.01
144,Tukrah,LY,2021-12-01 17:50:13,32.5341,20.5791,62.38,59,48,9.95
145,Campo Grande,BR,2021-12-01 17:50:13,-20.4428,-54.6464,85.55,54,75,9.22
146,Sibolga,ID,2021-12-01 17:50:13,1.7427,98.7792,75.42,87,8,3.2
147,Bria,CF,2021-12-01 17:45:24,6.5423,21.9863,80.47,50,75,1.99
148,Dosso,NE,2021-12-01 17:50:14,13.049,3.1937,84.72,14,7,9.62
149,Amuntai,ID,2021-12-01 17:50:14,-2.4177,115.2494,74.39,94,98,1.05
150,Broome,US,2021-12-01 17:50:15,42.2506,-75.833,42.71,57,40,4.0
151,Grand Gaube,MU,2021-12-01 17:50:16,-20.0064,57.6608,77.4,72,6,1.99
152,Vidim,RU,2021-12-01 17:50:16,56.4088,103.1106,11.01,89,100,6.11
153,Anchorage,US,2021-12-01 17:49:56,61.2181,-149.9003,23.94,90,90,3.0
154,Khatanga,RU,2021-12-01 17:50:16,71.9667,102.5,-35.66,100,100,2.77
155,Avera,US,2021-12-01 17:50:17,33.194,-82.5271,68.05,37,79,7.56
156,Gloria Do Goita,BR,2021-12-01 17:50:17,-8.0017,-35.2928,84.34,41,92,13.78
157,Mashhad,IR,2021-12-01 17:50:18,36.297,59.6062,57.34,47,0,6.91
158,Kalianget,ID,2021-12-01 17:50:18,-7.05,113.9333,78.64,86,99,4.68
159,Wyndham,US,2021-12-01 17:50:18,37.6985,-77.6125,59.99,42,20,1.01
160,Bethel,US,2021-12-01 17:50:19,41.3712,-73.414,48.78,55,1,1.99
161,Surt,LY,2021-12-01 17:50:19,31.2089,16.5887,61.3,56,1,2.15
162,Ossora,RU,2021-12-01 17:50:19,59.2353,163.0719,14.38,89,100,6.42
163,Beyneu,KZ,2021-12-01 17:50:20,45.3167,55.2,47.44,83,16,12.71
164,Simplicio Mendes,BR,2021-12-01 17:50:20,-7.8539,-41.9103,98.15,25,81,6.38
165,Igrim,RU,2021-12-01 17:50:21,63.1906,64.4162,10.31,95,100,5.46
166,Tarauaca,BR,2021-12-01 17:50:21,-8.1614,-70.7656,90.5,46,96,5.48
167,Cherskiy,RU,2021-12-01 17:50:21,68.75,161.3,-20.94,97,100,5.95
168,Winona,US,2021-12-01 17:50:22,43.9666,-91.7668,45.18,87,1,0.0
169,Mandalgovi,MN,2021-12-01 17:50:22,45.7625,106.2708,22.01,43,1,16.89
170,Henties Bay,NA,2021-12-01 17:50:23,-22.116,14.2845,64.85,84,2,11.72
171,Te Anau,NZ,2021-12-01 17:50:23,-45.4167,167.7167,52.66,89,37,0.4
