City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Puerto Escondido,MX,15.85,-97.0667,75.52,62,6,5.37,clear sky
120,Hanko,FI,59.8333,22.95,19.85,74,100,12.64,overcast clouds
121,Gobabis,NA,-22.45,18.9667,85.71,29,96,19.84,overcast clouds
122,Beinamar,TD,8.6698,15.3813,97.5,15,31,5.55,scattered clouds
123,Lasa,IT,46.6166,10.7002,36.48,58,0,3.69,clear sky
124,Ubeda,ES,38.0133,-3.3705,51.44,45,0,3.98,clear sky
125,Nantucket,US,41.2835,-70.0995,43.97,65,6,32.12,clear sky
126,La Rioja,ES,42.25,-2.5,44.38,87,100,6.53,overcast clouds
127,Ulcinj,ME,41.9294,19.2244,57.42,79,100,19.44,overcast clouds
128,Meulaboh,ID,4.1363,96.1285,79.07,81,100,1.92,light rain
129,Bastia,FR,42.6667,9.3333,56.3,63,75,3.0,broken clouds
130,Norman Wells,CA,65.282,-126.8329,-21.96,63,20,12.66,few clouds
131,Aquiraz,BR,-3.9014,-38.3911,89.22,60,92,12.53,overcast clouds
132,Chokurdakh,RU,70.6333,147.9167,-17.46,94,100,15.43,overcast clouds
133,Nhulunbuy,AU,-12.2333,136.7667,84.81,79,51,4.61,broken clouds
134,Broome,US,42.2506,-75.833,35.71,76,90,5.01,overcast clouds
135,Eureka,US,40.8021,-124.1637,47.62,96,48,3.04,scattered clouds
136,Hasaki,JP,35.7333,140.8333,43.2,45,0,5.01,clear sky
137,Zhanaozen,KZ,43.3,52.8,42.76,50,5,9.53,clear sky
138,Katsuura,JP,35.1333,140.3,51.91,57,0,9.69,clear sky
139,Barquisimeto,VE,10.0739,-69.3228,74.03,78,75,3.44,broken clouds
140,Maxixe,MZ,-23.8597,35.3472,87.62,66,20,25.01,few clouds
141,Tucupita,VE,9.0622,-62.051,78.87,85,75,3.0,broken clouds
142,Kaeo,NZ,-35.1,173.7833,66.33,92,100,9.13,overcast clouds
143,Alamos,MX,27.0167,-108.9333,67.28,48,95,4.23,overcast clouds
144,Launceston,AU,-41.45,147.1667,53.8,59,0,1.99,clear sky
145,Puerto Ayora,EC,-0.7393,-90.3518,68.68,85,94,8.25,overcast clouds
146,Hithadhoo,MV,-0.6,73.0833,82.11,77,4,9.89,clear sky
147,Narsaq,GL,60.9167,-46.05,8.15,72,0,7.78,clear sky
148,Thompson,CA,55.7435,-97.8558,-5.64,77,90,8.05,light snow
149,Qaanaaq,GL,77.484,-69.3632,13.14,88,100,6.15,overcast clouds
150,Vitim,RU,59.4511,112.5578,26.02,92,100,14.14,light snow
151,Imatra,FI,61.1719,28.7524,21.13,85,100,1.01,overcast clouds
152,Lysva,RU,58.1086,57.8053,22.96,93,100,9.46,light snow
153,Geraldton,AU,-28.7667,114.6,70.21,78,0,23.02,clear sky
154,Shenjiamen,CN,29.9576,122.298,53.42,47,0,13.31,clear sky
155,Kavieng,PG,-2.5744,150.7967,82.24,76,20,6.22,few clouds
156,Tecoanapa,MX,16.5167,-98.75,73.99,73,32,4.12,scattered clouds
157,Perth,AU,-31.9333,115.8333,80.67,40,0,12.66,clear sky
158,Cockburn Town,TC,21.4612,-71.1419,80.02,73,18,12.64,few clouds
159,Maragogi,BR,-9.0122,-35.2225,86.47,58,28,11.97,scattered clouds
160,Vaini,TO,-21.2,-175.2,75.36,94,75,6.91,light rain
161,Velingara,SN,13.15,-14.1167,99.54,9,68,5.01,broken clouds
162,Airai,TL,-8.9266,125.4092,63.32,93,100,1.48,moderate rain
163,Paamiut,GL,61.994,-49.6678,15.73,67,17,13.78,few clouds
164,Santiago,CL,-33.4569,-70.6483,73.99,42,0,0.0,clear sky
165,Clyde River,CA,70.4692,-68.5914,-10.97,81,80,2.89,broken clouds
166,Road Town,VG,18.4167,-64.6167,82.0,83,40,8.05,scattered clouds
167,Amazar,RU,53.858,120.875,-6.7,96,24,2.1,few clouds
168,Kruisfontein,ZA,-34.0033,24.7314,69.89,47,34,13.65,scattered clouds
169,Cortez,US,37.3489,-108.5859,41.41,57,41,4.52,scattered clouds
170,Yangambi,CD,0.8102,24.4336,89.17,49,99,3.49,overcast clouds
171,Tasiilaq,GL,65.6145,-37.6368,11.28,55,4,7.47,clear sky
172,Talnakh,RU,69.4865,88.3972,-23.8,96,100,7.72,overcast clouds
173,Xambioa,BR,-6.4111,-48.5364,76.62,90,100,3.49,overcast clouds
174,Mahebourg,MU,-20.4081,57.7,84.49,70,75,11.5,broken clouds
175,Ishinomaki,JP,38.4167,141.3,41.0,69,2,9.35,clear sky
176,Nanortalik,GL,60.1432,-45.2371,21.54,53,3,9.53,clear sky
177,Shagonar,RU,51.5333,92.8,-4.27,97,99,2.93,overcast clouds
178,Batticaloa,LK,7.7102,81.6924,80.2,77,77,7.11,broken clouds
179,Teknaf,BD,20.8624,92.3058,75.92,71,100,5.7,overcast clouds
180,Burnie,AU,-41.0667,145.9167,53.17,68,43,12.39,scattered clouds
181,Kedrovyy,RU,56.1667,91.8167,39.61,64,99,13.33,light rain
182,Qinhuangdao,CN,39.9317,119.5883,39.56,45,0,6.73,clear sky
183,Ndele,CF,8.4109,20.6473,99.12,16,59,5.17,broken clouds
184,Grand Gaube,MU,-20.0064,57.6608,84.6,69,10,5.99,clear sky
185,Khatanga,RU,71.9667,102.5,-19.53,99,100,11.43,light snow
186,Jiquinlaca,HN,14.0,-88.35,70.99,78,70,5.41,broken clouds
187,Khor,RU,47.8861,134.9464,-9.44,100,49,3.4,scattered clouds
188,Dahanu,IN,19.9667,72.7333,75.27,78,4,7.56,clear sky
189,Constitucion,CL,-35.3333,-72.4167,61.74,62,7,9.26,clear sky
190,Karratha,AU,-20.7377,116.8463,86.65,46,7,19.22,light rain
191,Husavik,IS,66.0449,-17.3389,28.31,84,100,7.58,overcast clouds
192,Castro-Urdiales,ES,43.3829,-3.2204,58.21,87,100,8.16,overcast clouds
193,Ranong,TH,9.9658,98.6348,80.53,84,28,7.94,scattered clouds
194,Bilibino,RU,68.0546,166.4372,-6.97,99,100,12.39,light snow
195,Dhidhdhoo,MV,6.8833,73.1,82.92,73,21,4.81,few clouds
196,Lompoc,US,34.6391,-120.4579,53.56,98,90,0.0,mist
197,Debre Tabor,ET,11.85,38.0167,69.4,23,3,8.05,clear sky
198,Faanui,PF,-16.4833,-151.75,81.3,65,94,21.27,overcast clouds
199,Moranbah,AU,-22.0016,148.0466,79.68,66,2,9.17,clear sky
200,Kaduna,NG,10.5222,7.4383,94.78,12,13,4.07,few clouds
201,Chekhov,RU,55.1431,37.4711,35.94,93,100,6.78,light snow
202,Cao Bang,VN,22.6667,106.25,56.89,65,53,1.66,broken clouds
203,Hovd,MN,48.0056,91.6419,15.48,66,0,1.23,clear sky
204,Salekhard,RU,66.53,66.6019,1.15,94,100,6.29,overcast clouds
205,Ust-Ilimsk,RU,58.0006,102.6619,27.82,65,91,12.55,overcast clouds
206,Bethel,US,41.3712,-73.414,41.58,59,20,1.99,few clouds
207,Suntar,RU,62.1444,117.6319,-4.07,98,100,9.55,light snow
208,Laguna,US,38.421,-121.4238,61.3,99,90,0.0,fog
209,Vestmannaeyjar,IS,63.4427,-20.2734,36.59,80,40,3.44,light rain
210,Kibre Mengist,ET,5.8833,38.9833,80.92,27,58,6.26,broken clouds
211,Holalkere,IN,14.0333,76.1833,73.65,81,100,3.78,overcast clouds
212,Benjamin Aceval,PY,-24.9667,-57.5667,84.6,34,0,5.32,clear sky
213,Campoverde,PE,-8.4753,-74.8058,73.09,81,100,1.34,overcast clouds
214,Denpasar,ID,-8.65,115.2167,82.06,83,40,9.22,scattered clouds
215,Pisco,PE,-13.7,-76.2167,64.45,88,100,6.91,mist
216,Salta,AR,-24.7859,-65.4117,78.58,52,90,1.99,overcast clouds
217,San Carlos De Bariloche,AR,-41.1456,-71.3082,53.35,30,40,9.22,scattered clouds
218,Saskylakh,RU,71.9167,114.0833,-40.72,100,88,6.2,overcast clouds
219,Pokhara,NP,28.2333,83.9833,59.81,90,58,0.31,broken clouds
220,Hambantota,LK,6.1241,81.1185,79.93,81,81,8.3,broken clouds
221,Cairo,EG,30.0626,31.2497,70.56,43,75,8.05,broken clouds
222,Gornopravdinsk,RU,60.05,69.9,22.96,94,100,9.93,light snow
223,Maneadero,MX,31.7167,-116.5667,53.1,90,6,5.99,clear sky
224,Los Llanos De Aridane,ES,28.6585,-17.9182,64.13,76,75,1.99,broken clouds
225,Northam,GB,51.0333,-4.2167,53.22,88,100,6.89,overcast clouds
226,Umm Kaddadah,SD,13.6017,26.6876,88.72,14,0,12.68,clear sky
227,Sao Felix Do Xingu,BR,-6.6447,-51.995,77.95,85,98,2.08,overcast clouds
228,Saint George,US,37.1041,-113.5841,56.35,48,1,0.0,clear sky
229,Merauke,ID,-8.4667,140.3333,82.51,81,99,7.74,overcast clouds
230,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,73,75,11.5,broken clouds
231,Bealanana,MG,-14.55,48.7333,78.31,51,69,11.1,broken clouds
232,Hauterive,FR,46.0901,3.4459,42.03,70,100,7.18,overcast clouds
233,Pacific Grove,US,36.6177,-121.9166,53.71,91,90,3.0,overcast clouds
234,Waipawa,NZ,-41.4122,175.5153,61.45,88,100,4.7,overcast clouds
235,Leshukonskoye,RU,64.8989,45.7622,-1.84,95,6,5.7,clear sky
236,Belaya Gora,RU,68.5333,146.4167,-18.2,97,100,12.68,light snow
237,Ostrovnoy,RU,68.0531,39.5131,23.13,64,100,17.22,light snow
238,Yuksekova,TR,37.5736,44.2872,36.23,41,0,3.85,clear sky
239,Ofaqim,IL,31.3141,34.6203,70.74,42,100,7.2,overcast clouds
240,Bannu,PK,32.9854,70.6027,65.14,22,97,2.48,overcast clouds
241,Nouadhibou,MR,20.931,-17.0347,67.98,60,9,23.02,sand
242,Yasnyy,RU,51.0333,59.8742,25.47,90,40,15.88,scattered clouds
243,Talara,PE,-4.5772,-81.2719,68.76,77,75,19.57,broken clouds
244,Ranot,TH,7.7777,100.3213,78.03,85,100,10.04,overcast clouds
245,Mazatlan,MX,23.2167,-106.4167,72.91,95,95,5.55,overcast clouds
246,Provideniya,RU,64.3833,-173.3,30.15,98,100,28.68,snow
247,Omsukchan,RU,62.5333,155.8,-26.34,91,100,4.99,overcast clouds
248,Pevek,RU,69.7008,170.3133,10.69,96,100,21.03,snow
249,Fortuna Foothills,US,32.6578,-114.4119,55.49,60,1,4.61,clear sky
250,Calvinia,ZA,-31.4707,19.776,88.86,12,100,12.24,overcast clouds
251,Zhangye,CN,38.9342,100.4517,28.45,45,0,2.17,clear sky
252,Rumoi,JP,43.9344,141.6428,36.48,92,100,12.59,overcast clouds
253,Katherine,AU,-14.4667,132.2667,91.72,46,75,0.0,broken clouds
254,Freetown,SL,8.484,-13.2299,82.11,74,75,5.75,haze
255,Flin Flon,CA,54.7682,-101.865,17.44,79,90,11.5,light snow
256,Salisbury,GB,51.0693,-1.7957,53.1,92,75,3.44,broken clouds
257,Bratsk,RU,56.1325,101.6142,32.49,75,58,7.87,broken clouds
258,Desaguadero,PE,-16.5656,-69.0417,44.67,80,100,3.09,overcast clouds
259,Vilyuysk,RU,63.7553,121.6247,-22.04,96,100,4.68,overcast clouds
260,Marsaxlokk,MT,35.8419,14.5431,57.81,72,75,12.66,thunderstorm
261,Awbari,LY,26.5921,12.7805,82.24,13,100,13.24,overcast clouds
262,Cidreira,BR,-30.1811,-50.2056,70.38,69,71,14.94,broken clouds
263,Kollam,IN,8.8833,76.6,84.07,83,64,6.02,moderate rain
264,Maun,BW,-19.9833,23.4167,98.56,25,75,9.22,broken clouds
265,Aklavik,CA,68.2191,-135.0107,-21.17,87,18,6.98,few clouds
266,Honggang,CN,46.4667,124.8667,5.45,90,10,2.59,clear sky
267,Raudeberg,NO,61.9875,5.1352,30.87,77,100,1.01,overcast clouds
268,Tshela,CD,-4.9833,12.9333,84.74,80,95,5.95,moderate rain
269,Saryozek,KZ,44.3583,77.9753,46.45,32,100,4.61,overcast clouds
270,Cabo San Lucas,MX,22.8909,-109.9124,75.51,80,100,6.04,overcast clouds
271,Consett,GB,54.854,-1.8316,43.02,83,100,13.33,overcast clouds
272,Puerto Leguizamo,CO,-0.1934,-74.7819,73.83,97,100,4.05,overcast clouds
273,Listvyanka,RU,51.8535,104.8693,26.1,68,42,1.88,scattered clouds
274,Hamilton,US,39.1834,-84.5333,41.99,87,5,1.99,clear sky
275,Mayna,RU,54.1135,47.6231,34.88,95,100,13.58,overcast clouds
276,Gravelbourg,CA,49.8834,-106.5512,26.87,56,100,9.82,overcast clouds
277,Lukovetskiy,RU,64.2956,41.9211,-4.02,96,35,4.79,scattered clouds
278,Guerrero Negro,MX,27.9769,-114.0611,60.71,85,11,8.81,few clouds
279,Blagoyevo,RU,63.3667,47.9167,-2.69,99,76,4.92,broken clouds
280,Kailua,US,21.4022,-157.7394,75.18,59,44,7.7,light rain
281,Naze,JP,28.3667,129.4833,58.93,55,86,14.34,overcast clouds
282,Kamenka,RU,51.3223,42.7678,44.74,93,100,14.67,overcast clouds
283,Souillac,MU,-20.5167,57.5167,84.58,70,75,11.5,broken clouds
284,San Cristobal,VE,7.7669,-72.225,66.38,59,29,3.69,scattered clouds
285,Bangassou,CF,4.7413,22.8184,90.18,46,99,2.15,overcast clouds
286,Iquitos,PE,-3.7481,-73.2472,75.24,94,90,0.0,overcast clouds
287,Torzhok,RU,57.0436,34.9622,31.64,87,100,9.8,overcast clouds
288,Qaqortoq,GL,60.7167,-46.0333,10.53,78,1,6.69,clear sky
289,Havre-Saint-Pierre,CA,50.2334,-63.5986,39.2,100,90,9.22,overcast clouds
290,Fare,PF,-16.7,-151.0167,80.87,68,9,21.23,clear sky
291,Sao Desiderio,BR,-12.3633,-44.9733,80.42,75,90,3.65,overcast clouds
292,Rawson,AR,-43.3002,-65.1023,62.67,46,0,7.2,clear sky
293,Hokitika,NZ,-42.7167,170.9667,59.72,98,100,4.47,moderate rain
294,Stykkisholmur,IS,65.0757,-22.7297,32.43,90,100,12.41,snow
295,Saint-Georges,GD,12.0564,-61.7485,82.08,83,40,12.66,scattered clouds
296,Ornskoldsvik,SE,63.2909,18.7153,22.15,100,90,5.75,light snow
297,Lorengau,PG,-2.0226,147.2712,81.91,78,18,6.24,few clouds
298,Berdigestyakh,RU,62.0989,126.6992,-32.1,100,48,3.11,scattered clouds
299,Nouakchott,MR,18.0858,-15.9785,82.33,26,100,15.66,overcast clouds
300,Sao Filipe,CV,14.8961,-24.4956,76.01,66,48,9.73,scattered clouds
301,Moa,CU,20.6569,-74.9403,78.64,82,100,9.15,overcast clouds
302,Bereda,ES,43.2686,-7.5406,53.01,100,100,5.48,overcast clouds
303,Valdepenas,ES,38.7621,-3.3848,52.09,48,0,7.99,clear sky
304,Benghazi,LY,32.1167,20.0667,67.42,48,100,21.36,overcast clouds
305,Irbil,IQ,36.1926,44.0106,60.62,33,0,3.44,clear sky
306,Xichang,CN,27.8964,102.2634,50.76,89,100,0.76,overcast clouds
307,Chuy,UY,-33.6971,-53.4616,68.81,65,75,10.71,broken clouds
308,Mnogovershinnyy,RU,53.9353,139.9242,-0.69,92,88,8.34,overcast clouds
309,Xiazhen,CN,34.8022,117.1117,44.62,43,0,2.93,clear sky
310,Kaitangata,NZ,-46.2817,169.8464,56.14,98,21,2.62,light rain
311,Gushikawa,JP,26.3544,127.8686,63.63,55,75,9.22,broken clouds
312,Faya,SA,18.3851,42.4509,73.51,25,0,3.09,clear sky
313,Ausa,ES,41.9271,2.2497,55.06,46,11,3.29,few clouds
314,Iqaluit,CA,63.7506,-68.5145,15.53,67,40,2.3,scattered clouds
315,Taree,AU,-31.9,152.4667,69.73,88,10,5.75,clear sky
316,Kingman,US,35.1894,-114.053,53.19,19,0,7.0,clear sky
317,Kundiawa,PG,-6.0167,144.9667,64.36,98,98,0.81,overcast clouds
318,Bardiyah,LY,31.7561,25.0865,67.6,37,100,14.05,overcast clouds
319,Port Lincoln,AU,-34.7333,135.8667,56.41,73,93,14.18,overcast clouds
320,Plaeng Yao,TH,13.5847,101.284,83.71,99,76,11.27,broken clouds
321,Darab,IR,28.7519,54.5444,63.5,39,4,6.15,clear sky
322,Ozernovskiy,RU,51.5,156.5167,36.93,84,12,22.26,few clouds
323,Sibolga,ID,1.7427,98.7792,77.76,88,100,2.24,overcast clouds
324,Lufkin,US,31.3382,-94.7291,64.83,97,100,6.08,overcast clouds
325,Rio Grande,BR,-32.035,-52.0986,71.71,70,89,15.99,overcast clouds
326,Tamworth,GB,52.634,-1.6959,46.78,92,100,3.0,overcast clouds
327,Lakefield,US,43.6775,-95.1717,33.87,93,40,0.0,scattered clouds
328,Hattiesburg,US,31.3271,-89.2903,54.21,97,20,0.0,mist
329,Da Lat,VN,11.9465,108.4419,52.93,97,64,3.96,broken clouds
330,San Patricio,US,28.017,-97.5169,69.69,96,100,5.48,overcast clouds
331,Japura,ID,-0.3167,102.35,79.36,80,100,5.68,overcast clouds
332,Esna,EG,25.2934,32.554,77.02,19,22,7.05,few clouds
333,Dzilam Gonzalez,MX,21.2833,-88.9333,71.08,88,5,3.58,clear sky
334,Kloulklubed,PW,7.0419,134.2556,79.57,87,100,27.49,heavy intensity rain
335,Tadine,NC,-21.55,167.8833,75.7,80,82,10.45,broken clouds
336,Touros,BR,-5.1989,-35.4608,86.9,66,100,13.2,overcast clouds
337,Dutlwe,BW,-23.9833,23.9,90.41,28,12,13.82,few clouds
338,Broken Hill,AU,-31.95,141.4333,74.91,20,100,10.36,overcast clouds
339,Nalut,LY,30.3333,10.85,60.94,23,100,23.2,overcast clouds
340,Batemans Bay,AU,-35.7167,150.1833,66.2,90,100,3.8,overcast clouds
341,Charters Towers,AU,-20.1,146.2667,78.64,70,5,10.83,clear sky
342,Baherden,TM,38.4362,57.4316,42.71,91,100,2.44,overcast clouds
343,Okhotsk,RU,59.3833,143.3,-6.43,84,100,14.43,overcast clouds
344,Isangel,VU,-19.55,169.2667,78.91,78,20,6.91,few clouds
345,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,18.41,scattered clouds
346,Havelock,US,34.8791,-76.9013,55.94,79,4,3.0,clear sky
